patch_id,T,B,fC_0,fC,I,F,S,category
232,3.5741203647161823,8,0.299013447355115,0.299013447355115,0,0,0,non_int
233,0.43126096857874385,0,0.28003935326999707,0.28003935326999707,1,1,0,fail
234,2.9190359923104374,3,0.4065995172759388,0.4065995172759388,0,0,0,non_int
235,1.3540193516778636,1,0.27762437150571123,0.27762437150571123,0,0,0,non_int
236,0.6433052503957153,0,0.27662803728775737,0.27662803728775737,0,0,0,non_int
237,0.21196295014609895,0,0.25896202925823775,0.25896202925823775,0,0,0,non_int
238,1.796202918291324,2,0.304607109822387,0.304607109822387,0,0,0,non_int
239,0.3493056159273503,1,0.5123136469654652,0.5123136469654652,0,0,0,non_int
240,1.9545304525818339,4,0.32366981984352655,0.32366981984352655,0,0,0,non_int
241,0.6584939538414384,1,0.12705898874427377,0.12705898874427377,0,0,0,non_int
242,1.9307869407115361,1,0.024254668908299443,0.024254668908299443,0,0,0,non_int
243,0.010634733056747541,0,0.17147262100465244,0.17147262100465244,1,1,0,fail
244,1.5798826393323804,1,0.3433015515830144,0.3433015515830144,0,0,0,non_int
245,1.0545789243607824,5,0.6091867609586935,0.6091867609586935,0,0,0,non_int
246,0.48241885024972886,0,0.11722351276674815,0.11722351276674815,0,0,0,non_int
247,0.07184001536567106,0,0.30762476099275976,0.30762476099275976,0,0,0,non_int
248,6.993521188447072,13,0.37985096410797003,0.6899254820539851,1,0,1,success
249,1.132119055158689,0,0.2653661857833824,0.2653661857833824,0,0,0,non_int
250,1.0331135231098254,1,0.32161416592879577,0.32161416592879577,0,0,0,non_int
251,0.20507272595006837,0,0.08470226261781336,0.08470226261781336,1,1,0,fail
252,1.606967933022159,2,0.3795500191101982,0.3795500191101982,0,0,0,non_int
253,0.6713576421798775,1,0.31241319533685524,0.31241319533685524,0,0,0,non_int
254,0.923993841096095,2,0.45085732932117345,0.45085732932117345,0,0,0,non_int
255,12.94195581812242,20,0.06394959126689262,0.5319747956334463,1,0,1,success
256,0.5074308918766273,0,0.007443973490198835,0.007443973490198835,0,0,0,non_int
257,0.4349006947620745,1,0.026914212124501208,0.026914212124501208,0,0,0,non_int
258,1.208947646187741,3,0.37550823831128816,0.37550823831128816,0,0,0,non_int
259,0.15402125283676527,0,0.08198483378864291,0.08198483378864291,0,0,0,non_int
260,1.1120717881330597,1,0.054515270916395395,0.054515270916395395,0,0,0,non_int
261,0.10225038166499706,0,0.017208799712974683,0.017208799712974683,0,0,0,non_int
262,1.7459596600161387,3,0.526078955503147,0.526078955503147,0,0,0,non_int
263,0.025099452110933777,0,0.05134014683555966,0.05134014683555966,0,0,0,non_int
264,0.2040626623743373,0,0.022546161634212275,0.022546161634212275,0,0,0,non_int
265,1.2839061636434221,0,0.1872384980727863,0.1872384980727863,0,0,0,non_int
266,0.03701681104378266,0,0.15263179741331434,0.15263179741331434,1,1,0,fail
267,0.5284227037602709,0,0.25331917249465935,0.25331917249465935,0,0,0,non_int
268,0.20703724669114967,0,0.2618070320909075,0.2618070320909075,0,0,0,non_int
269,0.08722281833985121,0,0.0650416972309128,0.0650416972309128,0,0,0,non_int
270,0.34915810678092374,1,0.7018995579545061,0.7018995579545061,1,1,0,fail
271,0.4063369190278977,0,0.00016423486277370843,0.00016423486277370843,1,1,0,fail
272,0.8140128041858893,0,0.5306869308037583,0.5306869308037583,0,0,0,non_int
273,1.7059150203966178,2,0.4321832963973835,0.4321832963973835,0,0,0,non_int
274,1.8034271489242781,3,0.18006087359549486,0.18006087359549486,0,0,0,non_int
275,1.0672582936736206,0,0.0010347375111310515,0.0010347375111310515,0,0,0,non_int
276,1.814063045569714,7,0.3657775076137593,0.6828887538068797,1,0,1,success
277,0.3010654850573359,1,0.18241462146412202,0.591207310732061,1,0,1,success
278,0.5349733854896775,2,0.2805290412449869,0.6402645206224935,1,0,1,success
279,4.081647031637775,7,0.5205526302348451,0.5205526302348451,0,0,0,non_int
